iter	Passed	Remaining
375	3099	5144
376	3107	5135
377	3115	5125
378	3123	5117
379	3130	5108
380	3138	5099
381	3146	5091
382	3154	5082
383	3162	5072
384	3170	5063
385	3177	5054
386	3185	5045
387	3192	5036
388	3201	5027
389	3208	5018
390	3217	5011
391	3224	5001
392	3233	4994
393	3241	4984
394	3249	4976
395	3257	4969
396	3266	4961
397	3273	4952
398	3282	4944
399	3290	4935
400	3298	4926
401	3306	4919
402	3314	4910
403	3322	4901
404	3330	4893
405	3338	4883
406	3346	4875
407	3353	4866
408	3362	4858
409	3370	4849
410	3378	4841
411	3386	4832
412	3394	4824
413	3402	4816
414	3410	4807
415	3417	4798
416	3425	4789
417	3433	4780
418	3440	4771
419	3448	4762
420	3456	4753
421	3464	4744
422	3471	4735
423	3479	4726
424	3486	4717
425	3494	4709
426	3502	4699
427	3510	4691
428	3518	4683
429	3526	4674
430	3534	4666
431	3542	4658
432	3550	4649
433	3558	4641
434	3566	4632
435	3574	4624
436	3582	4614
437	3590	4606
438	3597	4597
439	3606	4589
440	3614	4581
441	3622	4573
442	3630	4564
443	3638	4556
444	3646	4547
445	3657	4542
446	3665	4534
447	3673	4526
448	3681	4517
449	3690	4510
450	3697	4500
451	3705	4492
452	3713	4484
453	3721	4475
454	3729	4466
455	3736	4457
456	3744	4449
457	3752	4440
458	3760	4431
459	3768	4424
460	3776	4415
461	3784	4407
462	3792	4398
463	3800	4389
464	3807	4380
465	3815	4372
466	3823	4363
467	3831	4355
468	3839	4346
469	3847	4338
470	3855	4329
471	3862	4320
472	3870	4312
473	3878	4303
474	3886	4295
475	3893	4286
476	3901	4277
477	3908	4268
478	3916	4260
479	3924	4251
480	3932	4242
481	3939	4234
482	3948	4226
483	3956	4217
484	3963	4208
485	3971	4200
486	3979	4192
487	3987	4183
488	3996	4176
489	4004	4167
490	4012	4159
491	4019	4150
492	4027	4142
493	4035	4133
494	4044	4126
495	4052	4118
496	4060	4109
497	4068	4101
498	4076	4092
499	4084	4084
500	4092	4075
501	4099	4066
502	4107	4058
503	4115	4049
504	4122	4041
505	4130	4032
506	4138	4024
507	4146	4016
508	4154	4007
509	4162	3999
510	4170	3990
511	4178	3982
512	4185	3973
513	4193	3965
514	4201	3956
515	4208	3947
516	4216	3939
517	4224	3930
518	4231	3922
519	4240	3913
520	4247	3905
521	4255	3896
522	4263	3888
523	4271	3880
524	4279	3872
525	4287	3863
526	4295	3855
527	4302	3846
528	4311	3838
529	4318	3830
530	4327	3821
531	4334	3813
532	4343	3805
533	4350	3796
534	4359	3788
535	4367	3780
536	4375	3772
537	4383	3763
538	4391	3756
539	4399	3747
540	4408	3740
541	4415	3731
542	4423	3723
543	4432	3715
544	4441	3708
545	4449	3700
546	4457	3691
547	4466	3683
548	4474	3675
549	4483	3668
550	4490	3659
551	4499	3651
552	4506	3642
553	4515	3634
554	4522	3626
555	4530	3617
556	4537	3609
557	4546	3601
558	4554	3592
559	4562	3584
560	4570	3576
561	4578	3568
562	4586	3560
563	4595	3552
564	4602	3543
565	4610	3535
566	4617	3526
567	4625	3518
568	4633	3509
569	4641	3501
570	4649	3493
571	4657	3484
572	4665	3476
573	4672	3468
574	4681	3460
575	4690	3452
576	4697	3443
577	4705	3435
578	4713	3427
579	4720	3418
580	4728	3410
581	4736	3401
582	4744	3393
583	4751	3384
584	4760	3376
585	4767	3368
586	4776	3360
587	4785	3353
588	4793	3344
589	4800	3336
590	4808	3327
591	4816	3319
592	4825	3311
593	4833	3303
594	4841	3295
595	4848	3286
596	4856	3278
597	4864	3270
598	4872	3261
599	4880	3253
600	4888	3245
601	4896	3237
602	4904	3229
603	4911	3220
604	4920	3212
605	4928	3204
606	4936	3195
607	4944	3187
608	4952	3179
609	4960	3171
610	4968	3163
611	4976	3154
612	4983	3146
613	4991	3138
614	5000	3130
615	5007	3121
616	5015	3113
617	5023	3105
618	5031	3096
619	5039	3088
620	5046	3080
621	5054	3071
622	5062	3063
623	5070	3055
624	5077	3046
625	5086	3038
626	5094	3030
627	5102	3022
628	5110	3014
629	5118	3006
630	5125	2997
631	5134	2989
632	5142	2981
633	5150	2973
634	5158	2964
635	5166	2956
636	5173	2948
637	5181	2940
638	5189	2931
639	5197	2923
640	5205	2915
641	5216	2908
642	5224	2900
643	5233	2892
644	5241	2884
645	5249	2876
646	5256	2868
647	5265	2860
648	5273	2851
649	5281	2843
650	5288	2835
651	5297	2827
652	5305	2819
653	5314	2811
654	5322	2803
655	5330	2795
656	5338	2787
657	5347	2779
658	5354	2770
659	5363	2763
660	5371	2754
661	5379	2746
662	5386	2738
663	5395	2730
664	5402	2721
665	5410	2713
666	5418	2705
667	5427	2697
668	5434	2689
669	5443	2681
670	5450	2672
671	5459	2664
672	5467	2656
673	5474	2648
674	5482	2639
675	5490	2631
676	5497	2623
677	5505	2614
678	5512	2606
679	5520	2598
680	5528	2589
681	5536	2581
682	5544	2573
683	5552	2565
684	5560	2557
685	5568	2548
686	5576	2540
687	5584	2532
688	5592	2524
689	5600	2516
690	5609	2508
691	5617	2500
692	5625	2492
693	5634	2484
694	5642	2476
695	5650	2468
696	5659	2460
697	5666	2451
698	5674	2443
699	5682	2435
700	5690	2427
701	5698	2418
702	5706	2410
703	5714	2402
704	5722	2394
705	5729	2385
706	5738	2377
707	5745	2369
708	5753	2361
709	5761	2353
710	5769	2345
711	5776	2336
712	5784	2328
713	5792	2320
714	5800	2312
715	5808	2303
716	5815	2295
717	5823	2287
718	5831	2278
719	5838	2270
720	5846	2262
721	5854	2254
722	5862	2245
723	5870	2237
724	5877	2229
725	5885	2221
726	5892	2212
727	5900	2204
728	5907	2196
729	5915	2187
730	5923	2179
731	5931	2171
732	5939	2163
733	5947	2155
734	5955	2147
735	5963	2138
736	5970	2130
737	5978	2122
738	5987	2114
739	5996	2106
740	6005	2099
741	6014	2091
742	6023	2083
743	6032	2075
744	6041	2068
745	6052	2060
746	6060	2052
747	6069	2044
748	6078	2036
749	6086	2028
750	6096	2021
751	6105	2013
752	6114	2005
753	6125	1998
754	6134	1990
755	6142	1982
756	6150	1974
757	6158	1966
758	6166	1957
759	6174	1949
760	6182	1941
761	6190	1933
762	6199	1925
763	6207	1917
764	6214	1909
765	6222	1900
766	6231	1892
767	6239	1884
768	6249	1877
769	6259	1869
770	6267	1861
771	6276	1853
772	6285	1845
773	6294	1837
774	6302	1829
775	6312	1822
776	6320	1814
777	6329	1806
778	6338	1798
779	6347	1790
780	6356	1782
781	6365	1774
782	6375	1766
783	6384	1758
784	6396	1751
785	6405	1743
786	6413	1735
787	6421	1727
788	6428	1719
789	6436	1711
790	6444	1702
791	6452	1694
792	6460	1686
793	6468	1678
794	6476	1670
795	6483	1661
796	6491	1653
797	6500	1645
798	6509	1637
799	6519	1629
800	6528	1621
801	6537	1614
802	6546	1606
803	6555	1598
804	6564	1590
805	6588	1585
806	6598	1578
807	6608	1570
808	6617	1562
809	6626	1554
810	6635	1546
811	6644	1538
812	6653	1530
813	6661	1522
814	6669	1513
815	6676	1505
816	6684	1497
817	6692	1488
818	6700	1480
819	6707	1472
820	6715	1464
821	6722	1455
822	6729	1447
823	6737	1439
824	6745	1430
825	6752	1422
826	6760	1414
827	6769	1406
828	6777	1397
829	6785	1389
830	6793	1381
831	6801	1373
832	6809	1365
833	6817	1356
834	6825	1348
835	6835	1340
836	6845	1333
837	6854	1325
838	6865	1317
839	6874	1309
840	6884	1301
841	6894	1293
842	6903	1285
843	6914	1278
844	6922	1269
845	6930	1261
846	6938	1253
847	6947	1245
848	6957	1237
849	6966	1229
850	6975	1221
851	6984	1213
852	6994	1205
853	7003	1197
854	7012	1189
855	7022	1181
856	7030	1173
857	7039	1165
858	7048	1156
859	7057	1148
860	7066	1140
861	7075	1132
862	7084	1124
863	7093	1116
864	7102	1108
865	7110	1100
866	7117	1091
867	7126	1083
868	7133	1075
869	7141	1067
870	7149	1058
871	7157	1050
872	7164	1042
873	7172	1034
874	7180	1025
875	7188	1017
876	7196	1009
877	7203	1000
878	7211	992
879	7219	984
880	7226	976
881	7234	967
882	7242	959
883	7250	951
884	7258	943
885	7267	935
886	7277	927
887	7286	919
888	7296	911
889	7305	902
890	7314	894
891	7324	886
892	7333	878
893	7343	870
894	7353	862
895	7362	854
896	7370	846
897	7379	838
898	7389	830
899	7398	822
900	7406	813
901	7416	805
902	7424	797
903	7432	789
904	7441	781
905	7448	772
906	7456	764
907	7465	756
908	7473	748
909	7481	739
910	7489	731
911	7498	723
912	7506	715
913	7514	707
914	7523	698
915	7531	690
916	7539	682
917	7548	674
918	7555	665
919	7564	657
920	7572	649
921	7580	641
922	7588	633
923	7597	624
924	7605	616
925	7613	608
926	7621	600
927	7629	591
928	7637	583
929	7646	575
930	7653	567
931	7662	559
932	7669	550
933	7679	542
934	7688	534
935	7697	526
936	7706	518
937	7716	510
938	7728	502
939	7737	493
940	7748	485
941	7757	477
942	7766	469
943	7776	461
944	7784	453
945	7794	444
946	7804	436
947	7814	428
948	7823	420
949	7835	412
950	7844	404
951	7851	395
952	7860	387
953	7868	379
954	7876	371
955	7884	362
956	7892	354
957	7900	346
958	7908	338
959	7916	329
960	7923	321
961	7931	313
962	7939	305
963	7946	296
964	7955	288
965	7963	280
966	7971	272
967	7979	263
968	7987	255
969	7995	247
970	8002	239
971	8010	230
972	8018	222
973	8025	214
974	8034	206
975	8041	197
976	8050	189
977	8058	181
978	8065	173
979	8073	164
980	8081	156
981	8091	148
982	8099	140
983	8108	131
984	8119	123
985	8127	115
986	8137	107
987	8191	99
988	8220	91
989	8229	83
990	8239	74
991	8252	66
992	8261	58
993	8272	49
994	8280	41
995	8288	33
996	8296	24
997	8304	16
998	8312	8
999	8320	0
